Country,Details
Data protection laws in Fiji,"
Data protection laws in Fiji


There is no specific legislation for personal data protection in Fiji. Clause 24 of the Constitution (2013) provides the right to personal privacy, includes right to confidentiality of personal information.
Some sector-specific laws criminalise (or expose to other serious action) the unauthorised disclosure by others of personal / client information as follows:

Banking Act 1995 – by central bank personnel (s.27) and licensed financial institution personnel (s.71);
Fiji Revenue and Customs Service Act 1998 – by tax officials (s.52 (2));
Medical and Dental Practitioner Act 2010 – by statutory administrators of any data obtained in the course of their duties (s.126);
Under the Rules of Professional Conduct and Practice (para 1.4) of the Legal Practitioners Act 2009 - information received by legal practitioners from or on behalf of clients;
Cybercrime Act 2021 defines ""computer data"" which is broad enough to capture personal data if it is stored in a computer system.

These laws, however, do not directly protect personal information.
Last modified 3 January 2024



"
Data protection laws in Finland,"
Data protection laws in Finland


EU regulation
The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring implementation by the EU Member States through national law.
A 'Regulation' (unlike the Directive which it replaced) is directly applicable and has consistent effect in all Member States. However, there remain more than 50 areas covered by GDPR where Member States are permitted to legislate differently in their own domestic data protection laws, and there continues to be room for different interpretation and enforcement practices among the Member States.
Territorial scope
Primarily, the application of the GDPR turns on whether an organization is established in the EU. An 'establishment' may take a wide variety of forms, and is not necessarily a legal entity registered in an EU Member State.
However, the GDPR also has extra-territorial effect. An organization that it is not established within the EU will still be subject to the GDPR if it processes personal data of data subjects who are in the Union where the processing activities are related ""to the offering of goods or services"" (Article 3(2)(a)) (no payment is required) to such data subjects in the EU or ""the monitoring of their behaviour"" (Article 3(2)(b)) as far as their behaviour takes place within the EU.

Finland regulation
Finland has passed a supplementary implementation act of the GDPR, the Data Protection Act of Finland (Tietosuojalaki), which entered into force on January 1, 2019.
Other key Finnish laws concerning data privacy and protection are: the Act on Electronic Communication Services 917/2014 (Laki sähköisen viestinnän palveluista) of January 1, 2015, which aims to, inter alia, ensure the confidentiality of electronic communication and the protection of privacy; the Act on the Protection of Privacy in Working Life 759/2004 (‘Working Life Act’) (Laki yksityisyyden suojasta työelämässä), which aims to promote the protection of privacy and other rights safeguarding the privacy in working life, and; the Act on the Processing of Personal Data in Criminal Cases and in connection with Maintaining National Security 1054/2018 (Laki henkilötietojen käsittelystä rikosasioissa ja kansallisen turvallisuuden ylläpitämisen yhteydessä), which entered into force on January 1, 2019 along with the Data Protection Act.
The Working Life Act includes some specific provisions on privacy issues relating to employment and work environments such as right to monitor employees’ email communication. The protection of employees’ privacy has traditionally been strict in Finland and Finland uses the national leeway provided in the GDPR with regard to processing of personal data in the context of employment and maintains the specific law concerning privacy in working life.
Last modified 4 January 2023



"
Data protection laws in France,"
Data protection laws in France


EU regulation
The General Data Protection Regulation (Regulation (EU) 2016/679) (“GDPR” or ”Regulation”) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring implementation by the EU Member States through national law.
A 'Regulation' (unlike the Directive which it replaced) is directly applicable and has consistent effect in all Member States. However, there remain more than 50 areas covered by GDPR where Member States are permitted to legislate differently in their own domestic data protection laws, and there continues to be room for different interpretation and enforcement practices among the Member States.
Territorial Scope
Primarily, the application of the GDPR turns on whether an organization is established in the EU. This is the “establishment criterion”. An 'establishment' may take a wide variety of forms and is not necessarily a legal entity registered in an EU Member State.
However, the GDPR also has extra-territorial effect. An organization that it is not established within the EU will still be subject to the GDPR if it processes personal data of data subjects who are in the Union where the processing activities are related ""to the offering of goods or services"" (Article 3(2)(a)) (no payment is required) to such data subjects in the EU or ""the monitoring of their behavior"" (Article 3(2)(b)) as far as their behavior takes place within the EU. This is the “targeting criterion”.

France regulation
France updated Law No. 78-17 of January 6, 1978 on information technology, data files and civil liberties (the “Law”) to GDPR  with the enactment of (i) Law No. 2018-493 of June 20, 2018 on the protection of personal data, and (ii) Order No. 2018-1125 of December 12, 2018, adopted pursuant to Article 32 of Law No. 2018-493, updates the Law and other French laws relating to personal data protection in order to “simplify the implementation and make the necessary formal corrections to ensure consistency with EU data protection law”. France domestic data protection legislation was further completed with the adoption of Decree No. 2019-536 of May 29, 2019, adopted for the application of the Law (the “Decree”). The Decree clarifies procedural rules of the French data protection authority, including its control and sanctions, and further specifies data subject rights.
The Law and the Decree have been updated:

In 2021, (i) Law No. 2021-988 of July 30, 2021, on the prevention of acts of terrorism and intelligence amended articles 48 and 49 of the Law to create exceptions to the rights of individuals when processing is justified by national security and (ii) Law No. 2021-1017 of August 2, 2021, relating to bioethics which modified article 75 of the Law relating to processing in the health field;
In 2022, (i) Law No. 2022-52 of January 24, 2022, on criminal liability and homeland security amends articles 10, 20, 125 of the Law and created article 22-1 to introduce the simplified sanction procedure of the French data protection authority and (ii) Decree No. 2022-517 of April 8, 2022, amends the Decree to define the modalities of this simplified sanction procedure as introduced by Law No. 2022-52 of January 24, 2022. The objective of these new texts is to introduce more flexibility in the use of formal notices or sanctions; and
In 2024, Law No. 2024-449 of May 21, 2024 aiming to secure and regulate the digital space, which (i) extends the territorial scope of the Law, (ii) extends the powers and missions of the French supervisory authority, mainly in light of the new EU Digital Decade Regulation and (iii) introduces new obligations upon organizations processing personal data (e.g. in relation to the implementation of age verification systems or the hosting of health data).

Territorial Scope
Initially, Article 3 of the Law provided that it applied only when (i) the data controller or data processor is established in France (whether the processing takes place in France or not) or (ii) the data subjects reside in France (for the possible legal variations as permitted from time to time of the GDPR). Further to Law No. 2024-449 of May 21, 2024, the territorial scope of the Law has been extended and it now also applies to the processing of personal data of data subjects who are in the EU by a controller or processor not established in the EU, where the processing activities are related to the monitoring of their behaviour within the EU, in particular through the collection of their personal data with a view to reconciling it with data relating to their online activity.
Last modified 5 January 2025



"
Data protection laws in Gabon,"
Data protection laws in Gabon


The data protection regime in Gabon is governed by the following laws and regulations:

Act no. 025/2023 of 09/07/2023 amending Act no. 001/2011 of 25 September 2011 on the protection of personal data;
Law No. 26/2018 of 22 October 2018 regarding Electronic Communications in Gabon;
Law No. 02/2004 of 30 March 2005 ratifying the International Convention for the Suppression of the Financing of Terrorism;
Regulation No. 01/CEMAC/UMAC/CM of 11 April 2016 on the prevention and suppression of money laundering, terrorist financing and proliferation in Central Africa;
Law No. 025/2021 of 28/12/2021 regulating electronic transactions in the Gabonese Republic;
Law No. 027/2023 of 11/07/2023 regulating cybersecurity and the fight against cybercrime in the Gabonese Republic; and
Ratification of the African Union Convention on Cybersecurity and Personal Data Protection on 17 October 2024.

Last modified 6 January 2025



"
Data protection laws in Georgia,"
Data protection laws in Georgia


As of March 1st, 2024, the new Law of Georgia on Personal Data Protection (“Data Protection Law” or / and “Law”) has come into effect. This law establishes rights for data subjects and imposes obligations on data controllers and processors, closely mirroring the GDPR framework. Key provisions include the introduction of the Data Protection Officer role, enhanced internal accountability for controllers through internal registration of data processing activities and impact assessments, stricter data security obligations, and a redefined framework for international data transfers.
While the GDPR does not apply in Georgia, the Data Protection Law serves as the cornerstone of the country’s data protection framework. Its similarity to the GDPR stems from Georgia's commitment to aligning with EU standards as part of its path toward EU membership.
Georgia does not have extensive sector-specific data privacy regulations. Instead, sectoral laws typically refer to the Data Protection Law for guidance. This approach is evident in the regulations governing the telecom sector (via the Electronic Communications Law), the e-commerce sector (via the E-Commerce Law), the media sector (via the Broadcasting Law), and the banking sector (via the Commercial Bank Activities Law).
Furthermore, also the Georgian Civil Code grants individuals the right to access their personal data and records concerning their financial or private matters and to obtain copies of such data, except where restricted by Georgian law. Access to information containing personal data cannot be denied, and entities must provide such data to third parties upon receiving a written request and the explicit consent of the individual concerned, ensuring confidentiality is maintained. These rights are further elaborated and regulated in Chapter III of the Data Protection Law, particularly in Articles 13 and 14.
Material and Territorial Scope
The Data Protection Law applies: 

to the processing of data wholly or partly by automated means within the territory of Georgia; 
to the processing other than by automated means of data which form part of a filing system or are processed to form part of a filing system within the territory of Georgia;
to the processing of data by a controller not established in Georgia, using technical means available in Georgia, except where the technical means are used solely for the transit of data (hence law develops here extra-territorial effect).

The law does not apply to: 

the processing of data by a natural person in the course of purely personal and / or household activities, which has no connection to his / her entrepreneurial and / or economic and professional activities or the performance of official duties. The processing of data in the course of purely personal and / or household activities can include correspondence and the holding of addresses, or online activity (including social networking) undertaken within the context of such activities; 
the processing of data for the purposes of national security (including economic security), defense, intelligence and counter-intelligence activities; 
semi-automated processing and non-automated processing of data deemed to be a state secret, for the purposes of the prevention, investigation and prosecution of crime, and the conduct of operative and investigative activities or the protection of the rule of law; 
the processing of data for the purposes of court proceedings; 
the processing of data by mass media for public information (except for particularly stipulated cases); 
the processing of data for academic, artistic or literary purposes. 

Also, at the outset, the Data Protection Law establishes an important principle, stating that anyone who unintentionally comes into possession of another person’s data, not intended for them, must respect the rights of the data subject and refrain from engaging in any unlawful processing of such data.
Last modified 6 January 2025



"
Data protection laws in Germany,"
Data protection laws in Germany


At a glance
Germany adjusted its legal framework to align with the GDPR through the new German Federal Data Protection Act (BDSG), which came into force on May 25, 2018. The BDSG leverages GDPR's opening clauses, allowing Member States to tailor or restrict certain data processing requirements.
Part 3 of the BDSG implements the EU's Law Enforcement Directive (EU) 2016/680, which governs data processing for law enforcement purposes.
Germany also has data protection rules embedded in area-specific laws, such as those regulating financial trade and the energy sector.
EU regulation
The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring implementation by the EU Member States through national law.
A 'Regulation' (unlike the Directive which it replaced) is directly applicable and has consistent effect in all Member States. However, there remain more than 50 areas covered by GDPR where Member States are permitted to legislate differently in their own domestic data protection laws, and there continues to be room for different interpretation and enforcement practices among the Member States.
Territorial Scope
Primarily, the application of the GDPR turns on whether an organization is established in the EU. An 'establishment' may take a wide variety of forms, and is not necessarily a legal entity registered in an EU Member State.
However, the GDPR also has extra-territorial effect. An organization that it is not established within the EU will still be subject to the GDPR if it processes personal data of data subjects who are in the Union where the processing activities are related ""to the offering of goods or services"" (Article 3(2)(a)) (no payment is required) to such data subjects in the EU or ""the monitoring of their behaviour"" (Article 3(2)(b)) as far as their behaviour takes place within the EU.

Germany regulation
Germany has adjusted the German legal framework to the GDPR by passing the new German Federal Data Protection Act (Bundesdatenschutzgesetz – ""BDSG""). The BDSG came into force together with the GDPR on May 25, 2018. The purpose of the BDSG is especially to make use of the numerous opening clauses under the GDPR which enable Member States to specify or even restrict the data processing requirements under the GDPR. Part 3 of the BDSG implements the Law Enforcement Directive (EU) 2016/680.
Find the English version here.
In addition to the BDSG, there exist a number of data protection rules in area-specific laws, for example those regulating financial trade or the energy sector. As of 1 December 2021, the Telecommunications-Telemedia-Data Protection Act, renamed Telecommunications-Digital-Services-Data Protection Act as of 14 May 2024 (Telekommunikation-Digitale-Dienste-Datenschutz-Gesetz – ""TDDDG""), provides data protection regulations for telecommunication and digital services providers, which are intended to eliminate a long-standing legal uncertainty about the applicability of the data protection regulations of the German Telecommunications Act (Telekommunikationsgesetz – ""TKG"") and the German Digital Services Act (Digitale-Dienste-Gesetz – ""DDG"") in interaction with the GDPR. The TDDDG also transposes the “cookie consent” requirement under Article 5 (3) ePrivacy Directive into German law.
Last modified 16 January 2025



"
Data protection laws in Ghana,"
Data protection laws in Ghana


The primary legislation governing privacy / data protection in Ghana is the Data Protection Act, 2012 (Act 843).
Other laws, examples of which are set out below, contain some privacy/data protection provisions:
1992 Constitution
Article 18(2) provides citizens with a fundamental right to privacy. The Article provides that “no person shall be subjected to interference with the privacy of his home, property, correspondence or communication except in accordance with law and as may be necessary in a free and democratic society for public safety or the economic well-being of the country, for the protection of health or morals, for the prevention of disorder or crime or for the protection of the rights or freedoms of others.”
Electronic Communications Act, 2008 (Act 775)
A network operator or a service provider who is a holder of a Class Licence shall not use or permit another person to use or disclose confidential, personal or proprietary information of a user, another network operator or service provider without lawful authority unless the use or disclosure is necessary for the operation of the network or service, the billing and collection of charges, the protection of the rights or property of the operator or provider, or the protection of the users or other network operators or service providers from the fraudulent use of the network or service.
A person who intentionally uses or discloses personal information in contravention of the Act commits an offence and is liable on summary conviction to a fine of not more than one thousand five hundred penalty units or to a term of imprisonment of not more than four years or both.
Act 775 defines a Class Licence as “a licence, other than an individual licence, granted on the same terms to each applicant in respect to a class of electronic communications networks or services or radio-communication services.”
Electronic Communications Regulations, 2011 (L.I. 1991)
The principle of privacy and secrecy in electronic communications applies to the National Communications Authority, operators of electronic communications networks and providers of electronic communications services.
The operator is required to comply with international best practices in the industry to promote privacy, secrecy and security of communications carried or transmitted by the operator or through the communications system of the operator, and the personal and accounts data related to subscribers.
Credit Reporting Act, 2007 (Act 726)
The Bank of Ghana has the overall supervisory and regulatory authority under the Act to: (a) register, license and regulate bureaus, data providers and credit information recipients and their agents; and (b) control and supervise activities of the credit bureaus, data providers, credit information recipients and their agents.
The Act requires the recipient of a credit report to keep such report confidential while ensuring that the information contained in it is used solely for its specified purpose. A credit bureau, data provider or credit information recipient is required to observe the principles of: (a) equality of credit information subjects; (b) confidentiality of information; (c) non-interference in the private life of citizens; (d) respect for the rights, liberties and lawful interests of persons and legal entities; (e) accuracy and transparency of information; and (f) `privacy and secrecy of communication.
Credit Reporting Regulations, 2020 (L.I. 2394) 
These regulations made pursuant to the Credit Reporting Act, 2007 (Act 726), set standards for the safety and security of credit information, standards for data submission by data providers as well as standards for privacy and data security which are to be observed credit bureaus. These include:

Confidentiality of credit information;
Controls and security measures to be taken by credit bureaus; and
Standards to be observed in the processing of data submitted. 

*A penalty unit is equivalent to GHS12 ( approximately USD11.6 as at 22 December 2023).
Public Health Act, 2012 (Act 851)
Article 45 of the International Health Regulations (2005) of World Health Organisation Regulations which is annexed to Act 851 as the Seventh Schedule provides that “health information collected or received by a State Party pursuant to these Regulations from another State Party or from WHO which refers to an identified or identifiable person shall be kept confidential and processed anonymously as required by national law.”
Children’s Act, 1998 (Act 560)
The purpose of this Act is to reform and consolidate the law relating to children, to provide for the rights of the child, maintenance and adoption, regulate child labour and apprenticeship, and provide for ancillary matters concerning children generally.
Act 560 provides that “a child’s right to privacy must be respected throughout the proceedings at a Family Tribunal”. In furtherance of this, the Act restricts participants to the sittings of the Family Tribunal to persons with an interest in the matter including parents of the child and officers of the Tribunal.
Act 560 further provides that it is an offence for any person to “publish any information that may lead to the identification of a child in any matter before a Family Tribunal except with the permission of the Family Tribunal.”

Cybersecurity Act, 2020 (Act 1038)
The purpose of this Act is to regulate cybersecurity activities in Ghana, promote the development of cybersecurity and to provide for other related matters. This Act permits interception of data under limited circumstances.
Act 1038 makes provision for certain authorized persons to apply to the courts for a production order to collect subscriber information or for an interception warrant to collect or record traffic data or content data stored in real time.
Applications made in this regard must indicate the measures to be taken to ensure that the data will be procured:

whilst maintaining the privacy of other users, customers and third parties; and
without the disclosure of the traffic data of any party not part of the investigation.

Last modified 19 January 2024



"
Data protection laws in Gibraltar,"
Data protection laws in Gibraltar


Following the UK’s exit from the European Union, Gibraltar ceased to be a territory within the European Union as of midnight 31st December 2020. As a consequence, the Gibraltar Government transposed the General Data Protection Regulation (Regulation (EU) 2016/679) into Gibraltar national law (thereby creating the “Gibraltar GDPR”). In so doing, Gibraltar made  number of technical changes to the GDPR to account for its status as a national law of Gibraltar. The Gibraltar GDPR replaces EU terminology with domestic equivalents (e.g. references to “Member State law” become references to “Gibraltar law” and references to “a third country” to “a country or territory outside of Gibraltar”. These changes were made under Gibraltar’s Data Protection, Privacy and Electronic Communications (Amendments Etc) (EU) Exit Regulations 2019.
All material GDPR obligations on controllers and processors remain the same under the Gibraltar GDPR.
Additionally, Gibraltar’s Data Protection Act 2004 (“DPA04) remains in place as a national data protection law, and supplements the Gibraltar GDPR. It deals with matters that were previously permitted derogations and exemptions from the EU GDPR (for example substantial public interest bases for the processing of special category data, and context-specific exemptions form parts of the GDPR such as subject rights).
In addition:

Part III of the DPA04 transposes the Law Enforcement Directive ((EU) 2016/680) into Gibraltar law, creating a data protection regime specifically for law enforcement personal data processing: and
Parts V and VI set out the scope of the Information Commissioner's mandate and his enforcement powers, and creates a number of criminal offences relating to personal data processing.

Territorial Scope
Primarily, the application of the Gibraltar GDPR turns on whether an organization is established in GibraltarAn 'establishment' may take a wide variety of forms, and is not necessarily a legal entity registered in Gibraltar.
However, the Gibraltar GDPR also has extra-territorial effect. An organization that it is not established within Gibraltar will still be subject to the Gibraltar GDPR if it processes personal data of data subjects who are in Gibraltar where the processing activities are related ""to the offering of goods or services"" (Article 3(2)(a)) (no payment is required) to such data subjects in Gibraltar or ""the monitoring of their behaviour"" (Article 3(2)(b)) as far as their behaviour takes place within Gibraltar.
Last modified 19 January 2024



"
Data protection laws in Greece,"
Data protection laws in Greece


EU regulation
The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring implementation by the EU Member States through national law.
A 'Regulation' (unlike the Directive which it replaced) is directly applicable and has consistent effect in all Member States. However, there remain more than 50 areas covered by GDPR where Member States are permitted to legislate differently in their own domestic data protection laws, and there continues to be room for different interpretation and enforcement practices among the Member States.
Territorial Scope
Primarily, the application of the GDPR turns on whether an organization is established in the EU. An 'establishment' may take a wide variety of forms, and is not necessarily a legal entity registered in an EU Member State.
However, the GDPR also has extra-territorial effect. An organization that it is not established within the EU will still be subject to the GDPR if it processes personal data of data subjects who are in the Union where the processing activities are related ""to the offering of goods or services"" (Article 3(2)(a)) (no payment is required) to such data subjects in the EU or ""the monitoring of their behaviour"" (Article 3(2)(b)) as far as their behaviour takes place within the EU.

Greece regulation
The Greek Law 4624/2019 “on the Hellenic Data Protection Authority, the implementation of Regulation 2016/679 and the transposition of Directive 2016/680” (hereinafter the “Greek Data Protection Law”) (Government Gazette A/137/29.08.2019) was enacted and entered into force in August 28, 2019. The Greek Data Protection Law regulates the operation of the Hellenic Data Protection Authority, introduces GDPR supplementary rules and transposes the Law Enforcement Directive into Greek Law.
Last modified 16 January 2025



"
Data protection laws in Guatemala,"
Data protection laws in Guatemala


Guatemala does not have a personal data protection law, however the Law on Access to Public Information (Ley de Acceso a la Información Pública – Decree 57-2008 of the Congress of the Republic), even if it pertains to information in public files and records, does address the matter in certain provisions which can be applicable to private parties.
Last modified 21 December 2021



"
Data protection laws in Guernsey,"
Data protection laws in Guernsey


The Data Protection (Bailiwick of Guernsey) Law, 2017 (""DPL 2017"") came into force on 25 May 2018 to coincide with the enforcement of the EU's General Data Protection Regulation (EU) 2016/670 (""GDPR""). 
Adequacy
The DPL 2017 replaced Guernsey's first set of data protection legislation that was introduced in 2001 in the form of the Data Protection (Bailiwick of Guernsey) Law, 2001, as amended (""DPL 2001""). The DPL 2001 had been implemented in response to the EU Directive 95/46/EC. Whereas the DPL 2001 was modelled on a UK enactment, the DPL 2017 is stated to be 'equivalent' to the GDPR.
In 2003 Guernsey was recognised by the European Commission as providing an adequate level of protection for the free flow of personal data to the Bailiwick (see Opinion 02072/07/EN WP 141 and Opinion 10595/03/EN WP 79). Following the enforcement of the GDPR from 25 May 2018, the adequacy decision remains valid and effective in respect of Guernsey's revised data protection regime under the DPL 2017. The adequacy decision continued to apply pending reassessment by the European Commission (as per Article 45(9) GDPR), which has now taken place.  The European Commission's report (COM/2024/7 final) concluded that Guernsey continues to provide an adequate level of protection for personal data. 
The UK have also recognised Guernsey  as providing an adequate level of protection for personal data for the purposes of transfers under the UK GDPR (see The Data Protection (Law Enforcement) (Adequacy) (Bailiwick of Guernsey) Regulations 2023 (SI 2023/744).
Scope and applicability
The DPL 2017 applies in relation to the processing of personal data where:

the processing is by automated means (whether wholly or partly) OR if, the processing is not by automated means, it is intended to form part of a filing system; and
the processing is conducted by a controller or processor established in the Bailiwick of Guernsey (""Bailiwick"") OR the personal data is that of a Bailiwick resident and is processed in the context of the offering good or services (whether or not for payment) to the resident or the monitoring of the resident's behaviour in the Bailiwick. The term ""established in the Bailiwick"" is defined under the DPL 2017.

In practice, this means that there may be instances where controllers and processors established in the Bailiwick are subject to both the DPL 2017 and, where they process personal data of data subjects who are in the EU, the GDPR.
A domestic exception is available where the processing is for the purpose of an individual's personal, family or household affairs.
As from 25 May 2019, the initial period of transitional relief granted to controllers and processors in Guernsey came to an end.  All controllers and processors must therefore comply with all aspects of the DPL 2017 (including the duty to notify pre-collected data, carry out privacy impact assessments, comply with statutory obligations in relation to processor and joint controller-led duties and renew consents collected prior to 25 May 2018). 
There is also a requirement (in certain instances) for controllers not 'established in the Bailiwick' to designate and authorise a representative in the Bailiwick.

The Prevention of Discrimination (Guernsey) Ordinance, 2022  is in effect from 1st October 2023 and legislates against discriminating people on the grounds of religion, belief, sexuality, race, disability or carer status. Additional provisions will be coming into effect in 2028.  While not directly impacting data protection considerations, it is likely to impact the way in which employers are required to collect and use personal data about potential, new and existing employees. It is also likely to include the processing of special category data.  As the impact becomes clear, this will be updated.
Last modified 16 January 2025



"
Data protection laws in Guinea,"
Data protection laws in Guinea


Law n° L/2016/037/AN dated July 28, 2016, on Cybersecurity and Personal Data Protection in the Republic of Guinea regulates personal data.
Last modified 20 December 2021



"
Data protection laws in Haiti,"
Data protection laws in Haiti


Arrêté fixant les règles relatives à la protection des données à caractère personnel, published in the official gazette, Le Moniteur, #87 of May 15, 2018.
Code Penal, Published in the official gazette, Le Moniteur, Special #10, June 24, 2020.
Last modified 16 January 2025



"
Data protection laws in Honduras,"
Data protection laws in Honduras


Personal data protection is regulated mainly in:
National Constitution: Article 182 provides the constitutional protection of habeas data, giving individuals the right 'to access any file or record, private or public, electronic or hand written, that contains information which may produce damage to personal honour and family privacy. It is also a method to prevent the transmission or disclosure of such data, rectify inaccurate or misleading data, update data, require confidentiality and to eliminate false information. This guarantee does not affect the secrecy of journalistic sources.'
Law of the Civil Registry (Article 109, Decree 62-2004). This law refers only to public personal information that is contained in the archives of the Civil Registry.
Law for Transparency and for Access to Public Information (Article 3.5, Decree 170-2006). This law enables the access of any person to all the information contained in public entities, except that which is classified as 'Confidential.' It also extends the constitutional protection of habeas data and forbids the transmission of personal information that may cause any kind of discrimination or any moral or economic damage to people.
Rulings on the Law for Transparency and for Access to Public Information (Article 42, Accord 001-2008). Provide a definition of databases containing personal confidential information, and requires data subject consent, prior to the use of it by any third party.
In addition, the Law for the Protection of Confidential Personal Data (the “Law”) is currently in discussion in the Honduran Congress. Congress has approved the first chapters of the Law. The complete approval of the Law and the date for when the Law will enter into force is expected in the first half of 2019.
Last modified 10 February 2025



"
"Data protection laws in Hong Kong, SAR","
Data protection laws in Hong Kong, SAR


The Personal Data (Privacy) Ordinance (Cap. 486) (Ordinance) regulates the collection and handling of personal data. The Ordinance has been in force since 1996, but in 2012/2013 was significantly amended (notably with regard to direct marketing). The Personal Data (Privacy) (Amendment) Ordinance (Amendment Ordinance) came into force in October 2021 and introduced new offences of doxxing and corresponding penalties.
At Bill stage, the Amendment Ordinance had originally included a number of other proposed amendments to the Ordinance (as per the January 2020 Consultation Paper), e.g. introducing a mandatory data breach notification mechanism, requiring data users to formulate a data retention policy, empowering the Office of the Privacy Commissioner for Personal Data (PCPD) to impose administrative fines linked to annual turnover and regulating data processors directly (Proposed Amendments). According to its report to the Legislative Council in February 2023 (PCPD’s Report), the PCPD is studying the Proposed Amendments with the Government to strengthen personal data protection and to address challenges including those posed by internet technology developments. The summary of the Panel on Constitutional Affairs Meeting held in February 2024 (Panel Meeting Summary) further reinforced that the PCPD has plans to implement the Proposed Amendments and is in the process of formulating a concrete proposal, but media reports in Autumn 2024 suggested that some or all of the Proposed Amendments have been put on hold.
In addition, the Government released the Protection of Critical Infrastructures (Computer Systems) Bill in December 2024 (Bill). The Bill aims to protect critical infrastructure (CI), which include (inter alia) infrastructure which substantially affects the maintenance of critical societal or economic activities in Hong Kong in the event of a data breach. Under the Bill, CI operators would be required (inter alia) to implement a cybersecurity management plan and conducting security risk assessments. The Bill is currently passing through the Legislative Counsel.
Last modified 20 January 2025



"
Data protection laws in Hungary,"
Data protection laws in Hungary


EU regulation
The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring implementation by the EU Member States through national law.
A 'Regulation' (unlike the Directive which it replaced) is directly applicable and has consistent effect in all Member States. However, there remain more than 50 areas covered by GDPR where Member States are permitted to legislate differently in their own domestic data protection laws, and there continues to be room for different interpretation and enforcement practices among the Member States.
Territorial Scope
Primarily, the application of the GDPR turns on whether an organization is established in the EU. An 'establishment' may take a wide variety of forms, and is not necessarily a legal entity registered in an EU Member State.
However, the GDPR also has extra-territorial effect. An organization that it is not established within the EU will still be subject to the GDPR if it processes personal data of data subjects who are in the Union where the processing activities are related ""to the offering of goods or services"" (Article 3(2)(a)) (no payment is required) to such data subjects in the EU or ""the monitoring of their behaviour"" (Article 3(2)(b)) as far as their behaviour takes place within the EU.

Hungary regulation
The Hungarian Parliament implemented the GDPR into Hungarian laws by amending Act CXII of 2011 on the Right of Informational Self-Determination and on Freedom of Information. As of 26 April 2019 all the relevant sectorial laws were also amended in Hungary in order to comply with the provisions of the GDPR.
Last modified 11 January 2024



"
Data protection laws in Iceland,"
Data protection laws in Iceland


EU regulation
The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring implementation by the EU Member States through national law.
A 'Regulation' (unlike the Directive which it replaced) is directly applicable and has consistent effect in all Member States. However, there remain more than 50 areas covered by GDPR where Member States are permitted to legislate differently in their own domestic data protection laws, and there continues to be room for different interpretation and enforcement practices among the Member States.
Territorial Scope
Primarily, the application of the GDPR turns on whether an organization is established in the EU. An 'establishment' may take a wide variety of forms, and is not necessarily a legal entity registered in an EU Member State.
However, the GDPR also has extra-territorial effect. An organization that it is not established within the EU will still be subject to the GDPR if it processes personal data of data subjects who are in the Union where the processing activities are related ""to the offering of goods or services"" (Article 3(2)(a)) (no payment is required) to such data subjects in the EU or ""the monitoring of their behaviour"" (Article 3(2)(b)) as far as their behaviour takes place within the EU.

Iceland regulation
The GDPR was incorporated in the EEA Agreement by a Joint Committee Decision dated July 6, 2018. The Act No. 90/2018 on Data Protection and the Processing of Personal Data (the ‘DPA’) implements the GDPR in Iceland. The law contains derogations and exemptions from the position under the GDPR in certain permitted areas.
Last modified 16 January 2025



"
